,Location,Year,Unemployment Rate
0,Colombo,2019,4.1
1,Colombo,2020,4.8
2,Colombo,2021,4.4
3,Colombo,2022,5.1
4,Colombo,2023,5.5
5,Matara,2019,7.5
6,Matara,2020,8.6
7,Matara,2021,7.2
8,Matara,2022,5.2
9,Matara,2023,4.9
10,Nuwara Eliya,2019,4.2
11,Nuwara Eliya,2020,4.9
12,Nuwara Eliya,2021,3.7
13,Nuwara Eliya,2022,4.3
14,Nuwara Eliya,2023,4.5
15,Monaragala,2019,4.0
16,Monaragala,2020,6.5
17,Monaragala,2021,5.4
18,Monaragala,2022,3.9
19,Monaragala,2023,3.6
20,Kurunegala,2019,4.7
21,Kurunegala,2020,5.0
22,Kurunegala,2021,3.7
23,Kurunegala,2022,3.9
24,Kurunegala,2023,4.1
25,Jaffna,2019,6.0
26,Jaffna,2020,6.8
27,Jaffna,2021,4.7
28,Jaffna,2022,5.7
29,Jaffna,2023,5.9
30,Kandy,2019,6.6
31,Kandy,2020,7.5
32,Kandy,2021,6.8
33,Kandy,2022,6.7
34,Kandy,2023,7.0
