"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TAVG","TMAX","TMIN"
"CEM00043441","7.467","80.367","116.0","2019-01-02","0.00","78",,"72"
"CEM00043441","7.467","80.367","116.0","2019-01-03","0.00","81","87","71"
"CEM00043441","7.467","80.367","116.0","2019-01-04","0.00","83","88","69"
"CEM00043441","7.467","80.367","116.0","2019-01-05","0.00","84","90","65"
"CEM00043441","7.467","80.367","116.0","2019-01-06","0.00","82","88","71"
"CEM00043441","7.467","80.367","116.0","2019-01-07","0.00","80","89","68"
"CEM00043441","7.467","80.367","116.0","2019-01-08","0.00","82","90","71"
"CEM00043441","7.467","80.367","116.0","2019-01-09","0.00","83","89","71"
"CEM00043441","7.467","80.367","116.0","2019-01-10","0.00","81","88","72"
"CEM00043441","7.467","80.367","116.0","2019-01-11","0.00","85","90","73"
"CEM00043441","7.467","80.367","116.0","2019-01-12","0.00","84","90","74"
"CEM00043441","7.467","80.367","116.0","2019-01-13","0.00","82","87","72"
"CEM00043441","7.467","80.367","116.0","2019-01-14","0.00","80","86","74"
"CEM00043441","7.467","80.367","116.0","2019-01-15","0.00","81",,"72"
"CEM00043441","7.467","80.367","116.0","2019-01-16","0.00","82","89","74"
"CEM00043441","7.467","80.367","116.0","2019-01-17","0.00","80",,"72"
"CEM00043441","7.467","80.367","116.0","2019-01-19","0.00","82","89","66"
"CEM00043441","7.467","80.367","116.0","2019-01-20","0.00","80",,"69"
"CEM00043441","7.467","80.367","116.0","2019-01-21","0.00","82","90","69"
"CEM00043441","7.467","80.367","116.0","2019-01-22","0.00","82","92","69"
"CEM00043441","7.467","80.367","116.0","2019-01-23","0.00","82","92","69"
"CEM00043441","7.467","80.367","116.0","2019-01-24","0.00","83","92","70"
"CEM00043441","7.467","80.367","116.0","2019-01-26","0.00","87","94","76"
"CEM00043441","7.467","80.367","116.0","2019-01-27","0.00","84","94","70"
"CEM00043441","7.467","80.367","116.0","2019-01-28","0.00","82","91","71"
"CEM00043441","7.467","80.367","116.0","2019-01-29","0.00","81","92","67"
"CEM00043441","7.467","80.367","116.0","2019-01-30","0.00","85",,"70"
"CEM00043441","7.467","80.367","116.0","2019-01-31","0.00","84","92","71"
"CEM00043441","7.467","80.367","116.0","2019-02-01","0.00","87","94","71"
"CEM00043441","7.467","80.367","116.0","2019-02-02","0.00","87","93","72"
"CEM00043441","7.467","80.367","116.0","2019-02-03","0.00","83",,"72"
"CEM00043441","7.467","80.367","116.0","2019-02-04","0.00","82","88","76"
"CEM00043441","7.467","80.367","116.0","2019-02-05","0.02","82","89","75"
"CEM00043441","7.467","80.367","116.0","2019-02-06","0.00","83",,"74"
"CEM00043441","7.467","80.367","116.0","2019-02-07","0.00","85","96","71"
"CEM00043441","7.467","80.367","116.0","2019-02-10","2.51","84","93","73"
"CEM00043441","7.467","80.367","116.0","2019-02-11","0.00","82","92","72"
"CEM00043441","7.467","80.367","116.0","2019-02-12","0.00","82",,"71"
"CEM00043441","7.467","80.367","116.0","2019-02-13","0.00","85","91","77"
"CEM00043441","7.467","80.367","116.0","2019-02-14","0.00","83","92","75"
"CEM00043441","7.467","80.367","116.0","2019-02-15","0.00","87","94","74"
"CEM00043441","7.467","80.367","116.0","2019-02-17","0.42","84","93","73"
"CEM00043441","7.467","80.367","116.0","2019-02-18","0.00","86","94","75"
"CEM00043441","7.467","80.367","116.0","2019-02-20","0.00","83","92","70"
"CEM00043441","7.467","80.367","116.0","2019-02-21","0.00","81",,"71"
"CEM00043441","7.467","80.367","116.0","2019-02-22","0.00","88","93","74"
"CEM00043441","7.467","80.367","116.0","2019-02-23","0.00","86","92","67"
"CEM00043441","7.467","80.367","116.0","2019-02-24","0.00","83",,"68"
"CEM00043441","7.467","80.367","116.0","2019-02-25","0.00","85","96","72"
"CEM00043441","7.467","80.367","116.0","2019-02-26","0.00","89","95","75"
"CEM00043441","7.467","80.367","116.0","2019-02-27","0.00","85","94","75"
"CEM00043441","7.467","80.367","116.0","2019-02-28","0.00","83","91","73"
"CEM00043441","7.467","80.367","116.0","2019-03-03","0.00","88","96","73"
"CEM00043441","7.467","80.367","116.0","2019-03-04","0.00","85","96","72"
"CEM00043441","7.467","80.367","116.0","2019-03-05","0.11","85",,"74"
"CEM00043441","7.467","80.367","116.0","2019-03-06","0.00","86","95","77"
"CEM00043441","7.467","80.367","116.0","2019-03-07","0.00","86","96","73"
"CEM00043441","7.467","80.367","116.0","2019-03-09","0.00","88","96","74"
"CEM00043441","7.467","80.367","116.0","2019-03-10","0.85","86","96","72"
"CEM00043441","7.467","80.367","116.0","2019-03-11","0.00","87","94","72"
"CEM00043441","7.467","80.367","116.0","2019-03-12","0.00","83",,"69"
"CEM00043441","7.467","80.367","116.0","2019-03-13","0.00","83",,"70"
"CEM00043441","7.467","80.367","116.0","2019-03-14","0.00","86","96","76"
"CEM00043441","7.467","80.367","116.0","2019-03-15","0.00","90","98","71"
"CEM00043441","7.467","80.367","116.0","2019-03-17","0.33","84",,"75"
"CEM00043441","7.467","80.367","116.0","2019-03-18","0.00","86","96","75"
"CEM00043441","7.467","80.367","116.0","2019-03-19","0.00","88","99","72"
"CEM00043441","7.467","80.367","116.0","2019-03-20","0.00","87","99","73"
"CEM00043441","7.467","80.367","116.0","2019-03-21","0.00","84",,"75"
"CEM00043441","7.467","80.367","116.0","2019-03-24","0.00","88","99","73"
"CEM00043441","7.467","80.367","116.0","2019-03-25","0.00","87","100","71"
"CEM00043441","7.467","80.367","116.0","2019-03-26","0.00","83",,"69"
"CEM00043441","7.467","80.367","116.0","2019-03-27","0.00","87","99","72"
"CEM00043441","7.467","80.367","116.0","2019-03-31","0.00","88","101","74"
"CEM00043441","7.467","80.367","116.0","2019-04-01","0.00","90","99","74"
"CEM00043441","7.467","80.367","116.0","2019-04-02","0.00","90","98","72"
"CEM00043441","7.467","80.367","116.0","2019-04-03","0.00","87","99","72"
"CEM00043441","7.467","80.367","116.0","2019-04-04","0.00","88",,"74"
"CEM00043441","7.467","80.367","116.0","2019-04-05","0.00","91","98","76"
"CEM00043441","7.467","80.367","116.0","2019-04-07","0.00","87","98","77"
"CEM00043441","7.467","80.367","116.0","2019-04-08","0.19","86",,"76"
"CEM00043441","7.467","80.367","116.0","2019-04-09","0.00","87",,"76"
"CEM00043441","7.467","80.367","116.0","2019-04-10","0.51","89","99","75"
"CEM00043441","7.467","80.367","116.0","2019-04-11","0.06","86","95","78"
"CEM00043441","7.467","80.367","116.0","2019-04-12","0.55","92","99","74"
"CEM00043441","7.467","80.367","116.0","2019-04-13","0.14","90","97","77"
"CEM00043441","7.467","80.367","116.0","2019-04-14","0.01","87","97","76"
"CEM00043441","7.467","80.367","116.0","2019-04-15","0.00","85","96","75"
"CEM00043441","7.467","80.367","116.0","2019-04-16","0.08","83","96","76"
"CEM00043441","7.467","80.367","116.0","2019-04-17","0.09","82","94","76"
"CEM00043441","7.467","80.367","116.0","2019-04-18","0.11","83",,"73"
"CEM00043441","7.467","80.367","116.0","2019-04-21","0.11","87","94","74"
"CEM00043441","7.467","80.367","116.0","2019-04-22","1.51","85",,
"CEM00043441","7.467","80.367","116.0","2019-04-24","0.00","87","95","74"
"CEM00043441","7.467","80.367","116.0","2019-04-25","0.00","83",,
"CEM00043441","7.467","80.367","116.0","2019-04-28","0.00","87","94","78"
"CEM00043441","7.467","80.367","116.0","2019-04-29","0.12","85","90",
"CEM00043441","7.467","80.367","116.0","2019-04-30","0.00","80","89",
"CEM00043441","7.467","80.367","116.0","2019-05-01","0.11","85",,"74"
"CEM00043441","7.467","80.367","116.0","2019-05-02","0.00","84",,"78"
"CEM00043441","7.467","80.367","116.0","2019-05-03","0.00","85","90",
"CEM00043441","7.467","80.367","116.0","2019-05-05","0.00","85",,"78"
"CEM00043441","7.467","80.367","116.0","2019-05-06","0.00","85","94","76"
"CEM00043441","7.467","80.367","116.0","2019-05-07","0.00","86","92","76"
"CEM00043441","7.467","80.367","116.0","2019-05-08","0.00","86","93","78"
"CEM00043441","7.467","80.367","116.0","2019-05-09","0.00","86","92","77"
