"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TAVG","TMAX","TMIN"
"CE000434730","6.967","80.767","1880.0","2019-01-01","0.00","61","71","49"
"CE000434730","6.967","80.767","1880.0","2019-01-02","0.00","59",,"49"
"CE000434730","6.967","80.767","1880.0","2019-01-03","0.00","59","71","49"
"CE000434730","6.967","80.767","1880.0","2019-01-04","0.00","59","72","47"
"CE000434730","6.967","80.767","1880.0","2019-01-05","0.00","55","68",
"CE000434730","6.967","80.767","1880.0","2019-01-06","0.00","59","71","37"
"CE000434730","6.967","80.767","1880.0","2019-01-07","0.00","59","70","46"
"CE000434730","6.967","80.767","1880.0","2019-01-08","0.00","59","69","45"
"CE000434730","6.967","80.767","1880.0","2019-01-09","0.00","61","70","50"
"CE000434730","6.967","80.767","1880.0","2019-01-10","0.00","61","68","52"
"CE000434730","6.967","80.767","1880.0","2019-01-11","0.00","62","70","53"
"CE000434730","6.967","80.767","1880.0","2019-01-12","0.07","59","66","54"
"CE000434730","6.967","80.767","1880.0","2019-01-13","0.00","61","66","56"
"CE000434730","6.967","80.767","1880.0","2019-01-14","2.03","60","67","57"
"CE000434730","6.967","80.767","1880.0","2019-01-15","0.00","60",,"55"
"CE000434730","6.967","80.767","1880.0","2019-01-16","0.00","57","64",
"CE000434730","6.967","80.767","1880.0","2019-01-17","0.00","52",,
"CE000434730","6.967","80.767","1880.0","2019-01-18","0.00","56","71","42"
"CE000434730","6.967","80.767","1880.0","2019-01-19","0.00","53","70","41"
"CE000434730","6.967","80.767","1880.0","2019-01-20","0.00","54",,"40"
"CE000434730","6.967","80.767","1880.0","2019-01-21","0.00","56","71","44"
"CE000434730","6.967","80.767","1880.0","2019-01-22","0.00","57","71","42"
"CE000434730","6.967","80.767","1880.0","2019-01-23","0.00","57","72","45"
"CE000434730","6.967","80.767","1880.0","2019-01-24","0.00","56","69","44"
"CE000434730","6.967","80.767","1880.0","2019-01-25","0.00","59","71","45"
"CE000434730","6.967","80.767","1880.0","2019-01-26","0.00","60","68","48"
"CE000434730","6.967","80.767","1880.0","2019-01-27","0.00","60","69",
"CE000434730","6.967","80.767","1880.0","2019-01-28","0.00","56","69","47"
"CE000434730","6.967","80.767","1880.0","2019-01-29","0.00","57","69","45"
"CE000434730","6.967","80.767","1880.0","2019-01-30","0.00","60",,"50"
"CE000434730","6.967","80.767","1880.0","2019-01-31","0.00","59","67","46"
"CE000434730","6.967","80.767","1880.0","2019-02-01","0.00","60","69","46"
"CE000434730","6.967","80.767","1880.0","2019-02-02","0.00","60","69","47"
"CE000434730","6.967","80.767","1880.0","2019-02-03","0.00","63",,"55"
"CE000434730","6.967","80.767","1880.0","2019-02-04","0.08","60","62","57"
"CE000434730","6.967","80.767","1880.0","2019-02-05","0.30","61","67","56"
"CE000434730","6.967","80.767","1880.0","2019-02-06","0.02","60",,
"CE000434730","6.967","80.767","1880.0","2019-02-07","0.00","62","70","49"
"CE000434730","6.967","80.767","1880.0","2019-02-09","0.09","62","68","56"
"CE000434730","6.967","80.767","1880.0","2019-02-10","0.99","62","70","54"
"CE000434730","6.967","80.767","1880.0","2019-02-11","0.00","58","65","54"
"CE000434730","6.967","80.767","1880.0","2019-02-12","0.00","58",,"53"
"CE000434730","6.967","80.767","1880.0","2019-02-13","0.00","60","66","56"
"CE000434730","6.967","80.767","1880.0","2019-02-14","0.01","59","67",
"CE000434730","6.967","80.767","1880.0","2019-02-15","0.04","61","69","52"
"CE000434730","6.967","80.767","1880.0","2019-02-16","0.04","60",,"51"
"CE000434730","6.967","80.767","1880.0","2019-02-17","0.17","62","72","53"
"CE000434730","6.967","80.767","1880.0","2019-02-18","0.01","62","73","50"
"CE000434730","6.967","80.767","1880.0","2019-02-19","0.00","62","71","49"
"CE000434730","6.967","80.767","1880.0","2019-02-20","0.00","59","66","52"
"CE000434730","6.967","80.767","1880.0","2019-02-21","0.00","60",,"54"
"CE000434730","6.967","80.767","1880.0","2019-02-22","0.02","62","70","50"
"CE000434730","6.967","80.767","1880.0","2019-02-23","0.00","61","72","44"
"CE000434730","6.967","80.767","1880.0","2019-02-24","0.00","63","72","53"
"CE000434730","6.967","80.767","1880.0","2019-02-25","0.00","62","73",
"CE000434730","6.967","80.767","1880.0","2019-02-26","0.00","63","69","52"
"CE000434730","6.967","80.767","1880.0","2019-02-27","0.00","60","66",
"CE000434730","6.967","80.767","1880.0","2019-02-28","0.20","59","71","48"
"CE000434730","6.967","80.767","1880.0","2019-03-01","0.00","61","74","47"
"CE000434730","6.967","80.767","1880.0","2019-03-02","0.00","63",,"53"
"CE000434730","6.967","80.767","1880.0","2019-03-03","0.00","63","73","53"
"CE000434730","6.967","80.767","1880.0","2019-03-04","0.00","61","73","50"
"CE000434730","6.967","80.767","1880.0","2019-03-05","0.00","63",,"51"
"CE000434730","6.967","80.767","1880.0","2019-03-06","0.00","63","73","52"
"CE000434730","6.967","80.767","1880.0","2019-03-07","0.00","64","75","50"
"CE000434730","6.967","80.767","1880.0","2019-03-08","0.00","62","75",
"CE000434730","6.967","80.767","1880.0","2019-03-09","0.00","63","73","48"
"CE000434730","6.967","80.767","1880.0","2019-03-10","0.00","62","71","48"
"CE000434730","6.967","80.767","1880.0","2019-03-11","0.00","61","71",
"CE000434730","6.967","80.767","1880.0","2019-03-12","0.00","61",,"45"
"CE000434730","6.967","80.767","1880.0","2019-03-13","0.00","62",,"51"
"CE000434730","6.967","80.767","1880.0","2019-03-14","0.00","63","74","54"
"CE000434730","6.967","80.767","1880.0","2019-03-15","0.00","62","77","49"
"CE000434730","6.967","80.767","1880.0","2019-03-16","0.00","61",,"50"
"CE000434730","6.967","80.767","1880.0","2019-03-17","0.00","60",,"54"
"CE000434730","6.967","80.767","1880.0","2019-03-18","0.00","61","73",
"CE000434730","6.967","80.767","1880.0","2019-03-19","0.16","60","72","48"
"CE000434730","6.967","80.767","1880.0","2019-03-20","0.00","60","73","44"
"CE000434730","6.967","80.767","1880.0","2019-03-21","0.00","58",,"49"
"CE000434730","6.967","80.767","1880.0","2019-03-22","0.21","61",,"51"
"CE000434730","6.967","80.767","1880.0","2019-03-23","0.00","60","73",
"CE000434730","6.967","80.767","1880.0","2019-03-24","0.00","64","73","45"
"CE000434730","6.967","80.767","1880.0","2019-03-25","0.00","63","72",
"CE000434730","6.967","80.767","1880.0","2019-03-26","0.00","63",,"53"
"CE000434730","6.967","80.767","1880.0","2019-03-27","0.00","61","76","42"
"CE000434730","6.967","80.767","1880.0","2019-03-28",,"63","73",
"CE000434730","6.967","80.767","1880.0","2019-03-29","0.00","62","74","52"
"CE000434730","6.967","80.767","1880.0","2019-03-30","0.00","61",,
"CE000434730","6.967","80.767","1880.0","2019-03-31","0.00","62","75","46"
"CE000434730","6.967","80.767","1880.0","2019-04-01","0.00","63","75","49"
"CE000434730","6.967","80.767","1880.0","2019-04-02","0.00","62","75",
"CE000434730","6.967","80.767","1880.0","2019-04-03","0.00","61","74","46"
"CE000434730","6.967","80.767","1880.0","2019-04-04","0.00","61",,"45"
"CE000434730","6.967","80.767","1880.0","2019-04-05","0.01","63","74","49"
"CE000434730","6.967","80.767","1880.0","2019-04-06","0.47","60",,"50"
"CE000434730","6.967","80.767","1880.0","2019-04-07","0.00","61","74","51"
"CE000434730","6.967","80.767","1880.0","2019-04-08","0.00","59",,"50"
"CE000434730","6.967","80.767","1880.0","2019-04-09","0.65","63",,"54"
"CE000434730","6.967","80.767","1880.0","2019-04-10","0.14","63","72",
"CE000434730","6.967","80.767","1880.0","2019-04-11","0.00","63","71",
"CE000434730","6.967","80.767","1880.0","2019-04-12","0.00","65","75","49"
"CE000434730","6.967","80.767","1880.0","2019-04-13","0.00","65","73","52"
"CE000434730","6.967","80.767","1880.0","2019-04-14","0.02","63","86",
"CE000434730","6.967","80.767","1880.0","2019-04-15","0.00","64","75","48"
"CE000434730","6.967","80.767","1880.0","2019-04-16","0.00","64","76","55"
"CE000434730","6.967","80.767","1880.0","2019-04-17","0.00","63","75","55"
"CE000434730","6.967","80.767","1880.0","2019-04-18","1.93","63",,"56"
"CE000434730","6.967","80.767","1880.0","2019-04-19","0.13","64",,
"CE000434730","6.967","80.767","1880.0","2019-04-20","0.11","61","73","54"
"CE000434730","6.967","80.767","1880.0","2019-04-21","0.28","65","72","54"
"CE000434730","6.967","80.767","1880.0","2019-04-22","0.00","64",,"54"
"CE000434730","6.967","80.767","1880.0","2019-04-24","0.07","66","73","58"
"CE000434730","6.967","80.767","1880.0","2019-04-25","0.00","63",,"52"
"CE000434730","6.967","80.767","1880.0","2019-04-26","0.27","64",,"57"
"CE000434730","6.967","80.767","1880.0","2019-04-27","0.00","61","69","57"
"CE000434730","6.967","80.767","1880.0","2019-04-28","0.00","66","73","55"
"CE000434730","6.967","80.767","1880.0","2019-04-29","0.09","65","72",
"CE000434730","6.967","80.767","1880.0","2019-04-30","0.02","62",,"58"
"CE000434730","6.967","80.767","1880.0","2019-05-01","0.26","63",,"57"
"CE000434730","6.967","80.767","1880.0","2019-05-02","0.00","64",,"58"
"CE000434730","6.967","80.767","1880.0","2019-05-03","0.00","64","71","60"
"CE000434730","6.967","80.767","1880.0","2019-05-04","0.00","63",,
"CE000434730","6.967","80.767","1880.0","2019-05-05","0.15","60",,"52"
"CE000434730","6.967","80.767","1880.0","2019-05-06","0.00","63","77","54"
"CE000434730","6.967","80.767","1880.0","2019-05-07","0.00","64","74","53"
"CE000434730","6.967","80.767","1880.0","2019-05-08","0.00","62","72","52"
"CE000434730","6.967","80.767","1880.0","2019-05-09","0.00","64","77","50"
"CE000434730","6.967","80.767","1880.0","2019-05-10","0.00","66","77",
"CE000434730","6.967","80.767","1880.0","2019-05-11","0.00","64",,"51"
"CE000434730","6.967","80.767","1880.0","2019-05-12","0.00","63","75","52"
"CE000434730","6.967","80.767","1880.0","2019-05-13","0.09","63",,"58"
"CE000434730","6.967","80.767","1880.0","2019-05-14","0.00","63",,"54"
"CE000434730","6.967","80.767","1880.0","2019-05-15","0.00","62",,"52"
"CE000434730","6.967","80.767","1880.0","2019-05-16","0.00","63",,"52"
"CE000434730","6.967","80.767","1880.0","2019-05-17","0.00","61","71","55"
"CE000434730","6.967","80.767","1880.0","2019-05-18","0.00","64","72","54"
"CE000434730","6.967","80.767","1880.0","2019-05-19","0.06","63","72",
"CE000434730","6.967","80.767","1880.0","2019-05-20","0.15","62",,"49"
"CE000434730","6.967","80.767","1880.0","2019-05-21","0.00","64","72","54"
"CE000434730","6.967","80.767","1880.0","2019-05-22","0.00","64",,"55"
"CE000434730","6.967","80.767","1880.0","2019-05-23","0.59","63","72","55"
